Country Label,0
China,2209
United States,1457
Poland,644
United Kingdom,401
France,387
Italy,292
Thailand,239
Chile,185
Spain,175
Netherlands,153
South Africa,131
Brazil,121
Romania,92
Norway,82
Czech Republic,79
Germany,72
"Macedonia, The former Yugoslav Rep. of",70
Portugal,66
Bulgaria,63
Australia,61
Belgium,57
Switzerland,55
Hungary,51
Austria,49
Slovakia,48
Serbia,45
Finland,45
Sweden,41
Croatia,39
Lithuania,35
Canada,34
Ireland,33
Estonia,31
Iceland,22
Mexico,20
Slovenia,19
Malta,18
Greece,18
Denmark,18
Bosnia and Herzegovina,14
Luxembourg,13
Latvia,8
Cyprus,7
Colombia,6
Peru,5
Andorra,5
Rwanda,3
United Arab Emirates,3
India,2
Nepal,2
"Sudan, The Republic of",1
Tajikistan,1
Turkmenistan,1
Afghanistan,1
Iraq,1
Algeria,1
Guatemala,1
Ghana,1
Ethiopia,1
Côte d'Ivoire,1
Chad,1
Bangladesh,1
Bahrain,1
Viet Nam,1
