SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAYS_PERIOD,KWH_DAILY,TOTAL_INVOICE,CV_SITE
0001BB,2018-01-01,2018-01-31,2447,"316,46",31,78.9,35,6.62
0001BB,2018-02-01,2018-02-28,2211,"286,82",28,79.0,35,6.62
0001BB,2018-03-01,2018-03-31,2450,"317,32",31,79.0,35,6.62
0001BB,2018-04-01,2018-04-30,2431,"315,00",30,81.0,35,6.62
0001BB,2018-05-01,2018-05-31,2574,"333,37",31,83.0,35,6.62
0001BB,2018-06-01,2018-06-30,2830,"365,27",30,94.3,35,6.62
0001BB,2018-07-01,2018-07-31,3028,"390,39",31,97.7,35,6.62
0001BB,2018-08-01,2018-08-31,3053,"393,99",31,98.5,35,6.62
0001BB,2018-09-01,2018-09-30,2915,"378,35",30,97.2,35,6.62
0001BB,2018-10-01,2018-10-31,2986,"387,05",31,96.3,35,6.62
0001BB,2018-11-01,2018-11-30,2871,"372,47",30,95.7,35,6.62
0001BB,2018-12-01,2018-12-31,3086,"399,30",31,99.5,35,6.62
0001BB,2019-01-01,2019-01-31,3094,"381,40",31,99.8,35,6.62
0001BB,2019-02-01,2019-02-28,2767,"345,87",28,98.8,35,6.62
0001BB,2019-03-01,2019-03-31,3059,"378,18",31,98.7,35,6.62
0001BB,2019-04-01,2019-04-30,2761,"340,84",30,92.0,35,6.62
0001BB,2019-05-01,2019-05-31,2844,"349,26",31,91.7,35,6.62
0001BB,2019-06-01,2019-06-30,3009,"369,19",30,100.3,35,6.62
0001BB,2019-07-01,2019-07-31,3016,"371,20",31,97.3,35,6.62
0001BB,2019-08-01,2019-08-31,3089,"380,42",31,99.6,35,6.62
0001BB,2019-09-01,2019-09-30,2914,"361,36",30,97.1,35,6.62
0001BB,2019-10-01,2019-10-31,2963,"366,70",31,95.6,35,6.62
0001BB,2019-11-01,2019-11-30,2797,"345,89",30,93.2,35,6.62
0001BB,2019-12-01,2019-12-31,2859,"353,08",31,92.2,35,6.62
0001BB,2020-01-01,2020-01-31,2863,"414,93",31,92.4,35,6.62
0001BB,2020-02-01,2020-02-29,2663,"387,22",29,91.8,35,6.62
0001BB,2020-03-01,2020-03-31,2759,"403,25",31,89.0,35,6.62
0001BB,2020-04-01,2020-04-30,2680,"390,79",30,89.3,35,6.62
0001BB,2020-05-01,2020-05-31,2797,"407,48",31,90.2,35,6.62
